FIPS,Class,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Green,Constitution,Reform,Natural Law,Socialist Workers,Socialist,Write-ins,State1,State2,State3,State4,State5
fips,class,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16
1001,2,Autauga,County,23288,5316,17941,0,0,0,0,0,0,0,0,31,0,0,0,0,0
1003,2,Baldwin,County,80273,16456,63685,0,0,0,0,0,0,0,0,132,0,0,0,0,0
1005,2,Barbour,County,11227,5435,5772,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1007,2,Bibb,County,8548,2267,6276,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1009,2,Blount,County,23890,3558,20286,0,0,0,0,0,0,0,0,46,0,0,0,0,0
1011,2,Bullock,County,5203,3734,1466,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1013,2,Butler,County,9504,3895,5600,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1015,2,Calhoun,County,48258,15733,32461,0,0,0,0,0,0,0,0,64,0,0,0,0,0
1017,2,Chambers,County,14451,6683,7759,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1019,2,Cherokee,County,9449,2616,6820,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1021,2,Chilton,County,17461,3698,13733,0,0,0,0,0,0,0,0,30,0,0,0,0,0
1023,2,Choctaw,County,7635,3530,4103,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1025,2,Clarke,County,13144,5605,7532,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1027,2,Clay,County,6609,1780,4827,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1029,2,Cleburne,County,6161,1326,4823,0,0,0,0,0,0,0,0,12,0,0,0,0,0
1031,2,Coffee,County,19758,4616,15109,0,0,0,0,0,0,0,0,33,0,0,0,0,0
1033,2,Colbert,County,24182,9297,14864,0,0,0,0,0,0,0,0,21,0,0,0,0,0
1035,2,Conecuh,County,6760,3234,3519,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1037,2,Coosa,County,5425,2169,3250,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1039,2,Covington,County,15411,2979,12413,0,0,0,0,0,0,0,0,19,0,0,0,0,0
1041,2,Crenshaw,County,6131,1809,4319,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1043,2,Cullman,County,34882,6112,28704,0,0,0,0,0,0,0,0,66,0,0,0,0,0
1045,2,Dale,County,18894,4843,14026,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1047,2,Dallas,County,20460,13168,7281,0,0,0,0,0,0,0,0,11,0,0,0,0,0
1049,2,DeKalb,County,23357,5565,17777,0,0,0,0,0,0,0,0,15,0,0,0,0,0
1051,2,Elmore,County,33779,7283,26458,0,0,0,0,0,0,0,0,38,0,0,0,0,0
1053,2,Escambia,County,14279,4816,9446,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1055,2,Etowah,County,44117,13925,30128,0,0,0,0,0,0,0,0,64,0,0,0,0,0
1057,2,Fayette,County,7790,2090,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,2,Franklin,County,11351,3248,8091,0,0,0,0,0,0,0,0,12,0,0,0,0,0
1061,2,Geneva,County,11423,1960,9441,0,0,0,0,0,0,0,0,22,0,0,0,0,0
1063,2,Greene,County,5168,4172,994,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1065,2,Hale,County,7976,4678,3286,0,0,0,0,0,0,0,0,12,0,0,0,0,0
1067,2,Henry,County,8396,2840,5543,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1069,2,Houston,County,40948,11192,29686,0,0,0,0,0,0,0,0,70,0,0,0,0,0
1071,2,Jackson,County,19934,6060,13838,0,0,0,0,0,0,0,0,36,0,0,0,0,0
1073,2,Jefferson,County,313801,154495,159091,0,0,0,0,0,0,0,0,215,0,0,0,0,0
1075,2,Lamar,County,6739,1784,4955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,2,Lauderdale,County,37343,12012,25249,0,0,0,0,0,0,0,0,82,0,0,0,0,0
1079,2,Lawrence,County,14282,4936,9315,0,0,0,0,0,0,0,0,31,0,0,0,0,0
1081,2,Lee,County,53092,19806,33168,0,0,0,0,0,0,0,0,118,0,0,0,0,0
1083,2,Limestone,County,32834,8198,24567,0,0,0,0,0,0,0,0,69,0,0,0,0,0
1085,2,Lowndes,County,7008,4993,2009,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1087,2,Macon,County,10625,8745,1876,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1089,2,Madison,County,149744,52363,97185,0,0,0,0,0,0,0,0,196,0,0,0,0,0
1091,2,Marengo,County,11150,5528,5613,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1093,2,Marion,County,12037,2817,9200,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1095,2,Marshall,County,32559,5754,26752,0,0,0,0,0,0,0,0,53,0,0,0,0,0
1097,2,Mobile,County,179416,77292,102043,0,0,0,0,0,0,0,0,81,0,0,0,0,0
1099,2,Monroe,County,11095,4626,6457,0,0,0,0,0,0,0,0,12,0,0,0,0,0
1101,2,Montgomery,County,102988,56956,45962,0,0,0,0,0,0,0,0,70,0,0,0,0,0
1103,2,Morgan,County,49691,11630,37987,0,0,0,0,0,0,0,0,74,0,0,0,0,0
1105,2,Perry,County,6035,4223,1808,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1107,2,Pickens,County,9806,4415,5387,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1109,2,Pike,County,13670,5363,8298,0,0,0,0,0,0,0,0,9,0,0,0,0,0
1111,2,Randolph,County,9807,3116,6684,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1113,2,Russell,County,18208,9901,8263,0,0,0,0,0,0,0,0,44,0,0,0,0,0
1115,2,St. Clair,County,33594,6001,27538,0,0,0,0,0,0,0,0,55,0,0,0,0,0
1117,2,Shelby,County,89468,17609,71691,0,0,0,0,0,0,0,0,168,0,0,0,0,0
1119,2,Sumter,County,6867,5042,1823,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1121,2,Talladega,County,33689,13449,20184,0,0,0,0,0,0,0,0,56,0,0,0,0,0
