FIPS,Class,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Constitution,Green,Republican - Write-in,Peace and Freedom,Reform,Socialist,Write-ins,Tea Party,Working Families,State1,State2,State3,State4,State5,State6,State7
fips,class,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20
1001,3,Autauga,County,17974,3978,13980,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
1003,3,Baldwin,County,57592,11027,46471,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0
1005,3,Barbour,County,8274,4030,4242,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1007,3,Bibb,County,6427,1569,4849,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1009,3,Blount,County,16763,2448,14296,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
1011,3,Bullock,County,3866,2720,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,3,Butler,County,7039,2888,4145,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1015,3,Calhoun,County,33724,10046,23643,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
1017,3,Chambers,County,10305,4705,5594,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
1019,3,Cherokee,County,7141,2111,5021,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1021,3,Chilton,County,13557,2735,10801,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
1023,3,Choctaw,County,6620,3108,3510,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1025,3,Clarke,County,10557,4483,6063,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
1027,3,Clay,County,5233,1401,3829,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1029,3,Cleburne,County,5087,1068,4009,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
1031,3,Coffee,County,15130,3348,11759,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
1033,3,Colbert,County,16710,6781,9920,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1035,3,Conecuh,County,5200,2444,2752,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1037,3,Coosa,County,4394,1911,2482,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1039,3,Covington,County,12118,2313,9785,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1041,3,Crenshaw,County,5411,1572,3837,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1043,3,Cullman,County,29725,5752,23918,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
