FIPS,Class,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Green,Libertarian,Constitution,Independent American,Personal Choice,Socialist Workers,Socialist,Write-ins,State1,State2,State3,State4,State5,State6,State7
fips,class,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
4001,1,Apache,County,25263,16455,7680,0,0,1097,0,0,0,0,0,31,0,0,0,0,0,0,0
4003,1,Cochise,County,48288,19736,26208,0,0,2266,0,0,0,0,0,67,6,5,0,0,0,0,0
4005,1,Coconino,County,50707,28723,19334,0,0,2580,0,0,0,0,0,60,2,8,0,0,0,0,0
4007,1,Gila,County,21207,8099,11954,0,0,1135,0,0,0,0,0,14,1,4,0,0,0,0,0
4009,1,Graham,County,11708,3771,7352,0,0,570,0,0,0,0,0,11,0,4,0,0,0,0,0
4011,1,Greenlee,County,2912,1342,1365,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0
4012,1,La Paz,County,5512,1961,3120,0,0,426,0,0,0,0,0,5,0,0,0,0,0,0,0
4013,1,Maricopa,County,1342418,602809,675500,0,0,62546,0,0,0,0,0,1352,10,201,0,0,0,0,0
4015,1,Mohave,County,68199,20865,42410,0,0,4822,0,0,0,0,0,92,0,10,0,0,0,0,0
4017,1,Navajo,County,36779,16881,18228,0,0,1631,0,0,0,0,0,36,0,3,0,0,0,0,0
4019,1,Pima,County,374055,207578,153846,0,0,12304,0,0,0,0,0,293,5,29,0,0,0,0,0
4021,1,Pinal,County,106562,45558,55008,0,0,5885,0,0,0,0,0,103,0,8,0,0,0,0,0
4023,1,Santa Cruz,County,13523,9454,3617,0,0,437,0,0,0,0,0,15,0,0,0,0,0,0,0
4025,1,Yavapai,County,97951,34902,57838,0,0,5114,0,0,0,0,0,80,0,17,0,0,0,0,0
4027,1,Yuma,County,40525,18408,20997,0,0,1091,0,0,0,0,0,28,0,1,0,0,0,0,0
6001,1,Alameda,County,571769,468456,103313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003,1,Alpine,County,638,409,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,1,Amador,County,17283,7051,10232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6007,1,Butte,County,88662,43681,44981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009,1,Calaveras,County,21357,8878,12479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6011,1,Colusa,County,5735,2482,3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6013,1,Contra Costa,County,428504,300194,128310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6015,1,Del Norte,County,8567,4065,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6017,1,El Dorado,County,86596,35776,50820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019,1,Fresno,County,252766,129267,123499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6021,1,Glenn,County,9035,3520,5515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6023,1,Humboldt,County,55599,36162,19437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6025,1,Imperial,County,37688,25342,12346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6027,1,Inyo,County,7827,3333,4494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6029,1,Kern,County,218158,92252,125906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6031,1,Kings,County,31220,13304,17916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6033,1,Lake,County,22967,13543,9424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6035,1,Lassen,County,10540,3150,7390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6037,1,Los Angeles,County,3052578,2183654,868924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6039,1,Madera,County,38939,15997,22942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6041,1,Marin,County,131258,105153,26105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6043,1,Mariposa,County,8819,3551,5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6045,1,Mendocino,County,34478,24254,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6047,1,Merced,County,59955,32955,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6049,1,Modoc,County,3949,1188,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6051,1,Mono,County,5004,2600,2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6053,1,Monterey,County,121515,84585,36930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6055,1,Napa,County,55804,37122,18682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6057,1,Nevada,County,50573,25495,25078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6059,1,Orange,County,1086476,515902,570574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6061,1,Placer,County,165738,68599,97139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6063,1,Plumas,County,9722,4162,5560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6065,1,Riverside,County,631349,327698,303651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6067,1,Sacramento,County,497490,302078,195412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6069,1,San Benito,County,18644,11389,7255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6071,1,San Bernardino,County,551500,298067,253433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6073,1,San Diego,County,1144665,622781,521884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6075,1,San Francisco,County,344715,305126,39589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6077,1,San Joaquin,County,199493,113706,85787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6079,1,San Luis Obispo,County,122478,62216,60262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6081,1,San Mateo,County,276482,213503,62979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083,1,Santa Barbara,County,157520,93921,63599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6085,1,Santa Clara,County,623369,454647,168722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
