STATE,FIPS,FIPS2,OBAMA,ROMNEY,LTHS,ATHSD,ATBD,GPD,SCHLENR,MPE,EDUIN,INCIN,WNLPOP,AFAPOP,NAPOP,ASAPOP,OTHERPOP,LATPOP,GINI,LABFPR,POVERTY,CHILDPOVERTY,UNEMPRATE,POOROLDPEOPLE,TOTALPOP,POPLT18,POPGT65,EMPMGMT,EMPSRVC,EMPSALES,EMPFARM,EMPCONST,EMPPROD
United States,0,0,65793136,60768742,45608957,258450755,84224543,31014090,265444138,29642,5.15,5.09,198855056,36791226,2432478,13378628,5777134,46825194,0.469,230173193,40135881,54122626,29493791,30101910,304060000,73886508,38919644,106116844,51994212,77535227,2128418,28277554,38007464
"Autauga County, Alabama",1001,1001,6363,17379,7289,42295,10760,3520,39023,30137,4.63,5.06,38626,8826,198,298,595,992,0.405,31883,5107,6694,2925,4413,49584,13983,5454,14627,7834,14231,248,5653,6942
"Baldwin County, Alabama",1003,1003,18424,66016,21328,150669,46095,14964,128482,26486,4.65,4.17,146369,16856,1032,1032,1892,4988,0.439,99242,20468,33367,9460,8600,171997,40075,28724,52803,29583,47987,1204,20984,19264
"Barbour County, Alabama",1005,1005,5912,5550,8335,21328,4005,1780,19785,20992,2.48,2.56,14238,13734,148,30,267,1276,0.464,13971,7327,10204,2907,6645,29663,6793,3945,7623,4182,5606,653,2818,8810
"Bibb County, Alabama",1007,1007,2202,6132,5473,15991,2146,558,14896,26848,2.54,4.26,16184,4958,21,43,64,193,0.411,11655,2554,3735,1030,2898,21464,5130,2769,4379,2983,4808,129,3885,5302
"Blount County, Alabama",1009,1009,2970,20757,14371,42433,7100,2386,40956,27362,2.99,4.39,50783,454,398,227,738,4147,0.422,32549,6248,7612,3238,6078,56804,13917,7953,13349,9259,13633,625,9770,10168
"Bullock County, Alabama",1011,1011,4061,1251,2762,8155,1310,404,7784,20036,2.87,2.23,2424,8177,11,33,11,251,0.533,6081,3526,5775,1168,3439,10917,2653,1245,1845,1681,2489,557,972,3373
"Butler County, Alabama",1013,1013,4374,5087,5088,15101,2221,646,14960,22571,3.08,3.06,11447,8338,40,121,182,81,0.463,10922,4442,5814,1817,3997,20189,5007,3250,4199,3210,5451,444,1999,4886
"Calhoun County, Alabama",1015,1015,15511,30278,24288,88681,18188,7230,84727,25123,3.7,3.8,85518,21916,565,904,1356,2711,0.453,64166,19770,28016,10845,12765,112969,26322,16493,32648,17397,26435,452,13443,22594
"Chambers County, Alabama",1017,1017,6871,7626,9787,24917,3748,1284,25056,24160,2.78,3.53,20753,12945,69,69,382,451,0.425,19538,5553,7635,4234,4616,34704,8121,5622,7392,5101,9231,104,4095,8780
"Cherokee County, Alabama",1019,1019,2132,7506,6498,17929,2565,1026,17074,26959,2.64,4.29,22448,1368,147,24,147,293,0.439,13533,3566,5154,2736,2809,24427,5081,4275,5862,3884,4959,464,3273,5985
"Chilton County, Alabama",1021,1021,3397,13932,10188,32084,5157,2029,29379,26737,2.81,4.23,35170,4396,127,42,550,1987,0.451,25321,7271,9934,3213,5369,42272,10483,5495,9384,5622,9892,338,7989,9046
"Choctaw County, Alabama",1023,1023,3786,4152,4112,10117,1551,583,11056,22177,3.29,2.94,7812,6190,0,14,114,85,0.457,6090,3244,4496,1494,3116,14229,3358,2390,4069,2006,2789,313,2504,2533
"Clarke County, Alabama",1025,1025,6334,7470,6319,20119,3569,1295,19802,24797,3.4,3.71,14488,10998,370,264,185,132,0.523,11474,6900,9068,2168,6398,26438,6953,3992,6530,2987,6424,529,2987,6980
"Clay County, Alabama",1027,1027,1777,4817,3938,9831,1308,427,10120,27466,2.8,4.42,11070,1983,41,0,317,372,0.421,7711,2437,2988,1225,2286,13769,3029,2768,3084,1680,2299,454,2423,3814
"Cleburne County, Alabama",1029,1029,971,5272,4330,10249,1225,539,10089,20883,2.32,2.52,13442,787,58,0,160,146,0.424,8179,2391,2755,1866,2391,14579,3411,2216,3280,2333,3047,350,2376,3193
"Coffee County, Alabama",1031,1031,4925,14666,9688,37114,10343,3978,33417,26128,3.75,4.07,34774,8424,328,468,889,1919,0.452,27192,7535,11700,3417,6271,46802,11186,6739,14462,5944,11560,796,6037,8003
"Colbert County, Alabama",1033,1033,9166,13936,10855,43691,8946,3218,40091,25773,3.61,3.98,43855,8727,273,218,655,873,0.435,30000,7636,10418,3491,5346,54546,12218,8946,15109,8127,14673,164,6491,9927
"Conecuh County, Alabama",1035,1035,3555,3439,3764,9350,1272,564,9704,22092,2.9,2.91,7121,5810,79,0,79,26,0.484,6609,3803,5678,1167,2924,13114,3134,2203,3410,2046,2859,131,1482,3187
"Coosa County, Alabama",1037,1037,2191,3049,2899,7878,1142,517,7425,22491,2.56,3.03,7145,3503,0,0,108,11,0.443,5453,2166,2824,711,2188,10777,2220,1789,1875,1940,2533,172,1412,2845
"Covington County, Alabama",1039,1039,3158,12153,8622,28066,4806,1761,26672,21611,3.18,2.76,30965,4586,220,147,367,404,0.475,19408,6641,10529,3375,4439,36688,8402,6787,9172,5503,8805,770,5210,7228
"Crenshaw County, Alabama",1041,1041,2050,4331,3600,10087,1382,534,10621,21962,3.35,2.87,9909,2970,82,411,164,151,0.466,7692,2997,4216,1300,2532,13687,3258,2327,3627,2258,2902,547,1560,2806
"Cullman County, Alabama",1043,1043,5052,28999,18626,62004,11127,4354,59586,24395,3.37,3.6,75067,968,323,242,887,3145,0.445,45878,13385,17497,5483,11530,80630,18948,12336,20238,11772,18384,1129,12094,17013
"Dale County, Alabama",1045,1045,5286,13108,8585,39648,8441,2701,31834,25249,3.03,3.84,34631,9695,193,675,1061,1978,0.424,28988,6849,8923,3183,5547,48233,11962,6222,13264,8489,11142,241,7621,7380
"Dallas County, Alabama",1047,1047,14612,6288,9918,32830,6113,2565,32403,21599,3.6,2.75,13551,28513,85,171,85,342,0.515,21930,13679,19921,6626,12696,42748,11713,6113,11072,6626,9405,385,3805,11456
"DeKalb County, Alabama",1049,1049,5239,18331,21750,46433,7432,3205,48887,22266,2.61,2.96,58228,1023,614,205,886,7159,0.454,37432,14250,19500,5455,12205,68183,17455,9546,14523,8591,13841,1227,9273,20659
