county,s1D,s1R,s2D,s2R
1001,5316,17941,3978,13980
1003,16456,63685,11027,46471
1005,5435,5772,4030,4242
1007,2267,6276,1569,4849
1009,3558,20286,2448,14296
1011,3734,1466,2720,1146
1013,3895,5600,2888,4145
1015,15733,32461,10046,23643
1017,6683,7759,4705,5594
1019,2616,6820,2111,5021
1021,3698,13733,2735,10801
1023,3530,4103,3108,3510
1025,5605,7532,4483,6063
1027,1780,4827,1401,3829
1029,1326,4823,1068,4009
1031,4616,15109,3348,11759
1033,9297,14864,6781,9920
1035,3234,3519,2444,2752
1037,2169,3250,1911,2482
1039,2979,12413,2313,9785
1041,1809,4319,1572,3837
1043,6112,28704,5752,23918
1045,4843,14026,3274,10557
1047,13168,7281,10248,5372
1049,5565,17777,5410,14520
1051,7283,26458,5555,20689
1053,4816,9446,3307,7236
1055,13925,30128,9647,22124
1057,2090,5700,1583,4417
1059,3248,8091,2992,5572
1061,1960,9441,1738,7817
1063,4172,994,3507,796
1065,4678,3286,3895,2568
1067,2840,5543,2226,4493
1069,11192,29686,8234,24218
1071,6060,13838,4589,10507
1073,154495,159091,98773,113144
1075,1784,4955,1236,3647
1077,12012,25249,9389,18374
1079,4936,9315,4381,7060
1081,19806,33168,12187,21484
1083,8198,24567,6326,19505
1085,4993,2009,3647,1581
1087,8745,1876,6218,1272
1089,52363,97185,34909,73003
1091,5528,5613,4462,4359
1093,2817,9200,2172,6608
1095,5754,26752,4649,20836
1097,77292,102043,44468,65958
1099,4626,6457,3052,4474
1101,56956,45962,37924,35586
1103,11630,37987,9257,29718
1105,4223,1808,3177,1265
1107,4415,5387,3077,4341
1109,5363,8298,3559,6094
1111,3116,6684,2270,4902
1113,9901,8263,6091,5365
1115,6001,27538,4075,20560
1117,17609,71691,10871,52309
1119,5042,1823,4110,1440
1121,13449,20184,9039,14909
1123,5806,12997,5332,10336
1125,30663,46642,18743,35459
1127,8177,20021,6470,15916
1129,2990,5587,2181,3864
1131,4309,1983,3482,1366
1133,1704,8091,1449,6508
4001,11785,7371,16455,7680
4003,13119,23445,19736,26208
4005,17164,18995,28723,19334
4007,4858,11500,8099,11954
4009,2194,6223,3771,7352
4011,947,1321,1342,1365
