State,FIPS,Less Than High School (%),"At Least High School Diploma
(%)","At Least Bachelor's Degree
(%)","Graduate or Professional Degree
(%)","School Enrollment
(% enrolled ages 3 to 24)",Median Personal Earnings (2010 dollars),"Education
Index","Income Index",White not Latino Population (%),African American Population (%),Native American Population (%),Asian American Population (%),Population some other race or races (%),Latino Population (%),Preschool Enrollment (% enrolled ages 3 and 4),Gini Coefficient,Labor Force Participation Rate (% ages 16 to 64),"Poverty Rate (% below federal poverty threshold)
",Child Poverty (% living in families below the poverty line),Unemployment Rate(% ages 16 and over),3- and 4-year-olds Not Enrolled in Preschool (%),Children Under 6 Living in Poverty (%),Adults 65 and Older Living in Poverty (%),population,Population under 18 (%),Population over 65 (%),"Management, professional, and related occupations (%)",Service occupations (%),Sales and office occupations (%),"Farming, fishing, and forestry occupations (%)","Construction, extraction, maintenance and repair occupations (%)","Production, transportation, and material moving occupations (%)"
United States,0,15,85,27.7,10.2,87.3,"29,642",5.15,5.09,65.4,12.1,0.8,4.4,1.9,15.4,49.1,0.469,75.7,13.2,17.8,9.7,50.9,20.9,9.9,"304,059,728",24.3,12.8,34.9,17.1,25.5,0.7,9.3,12.5
"Autauga County, Alabama",1001,14.7,85.3,21.7,7.1,78.7,"30,137",4.63,5.06,77.9,17.8,0.4,0.6,1.2,2,42.3,0.405,64.3,10.3,13.5,5.9,57.7,21,8.9,"49,584",28.2,11,29.5,15.8,28.7,0.5,11.4,14
"Baldwin County, Alabama",1003,12.4,87.6,26.8,8.7,74.7,"26,486",4.65,4.17,85.1,9.8,0.6,0.6,1.1,2.9,43,0.439,57.7,11.9,19.4,5.5,57,21.6,5,"171,997",23.3,16.7,30.7,17.2,27.9,0.7,12.2,11.2
"Barbour County, Alabama",1005,28.1,71.9,13.5,6,66.7,"20,992",2.48,2.56,48,46.3,0.5,0.1,0.9,4.3,32.5,0.464,47.1,24.7,34.4,9.8,67.5,37.2,22.4,"29,663",22.9,13.3,25.7,14.1,18.9,2.2,9.5,29.7
"Bibb County, Alabama",1007,25.5,74.5,10,2.6,69.4,"26,848",2.54,4.26,75.4,23.1,0.1,0.2,0.3,0.9,20.9,0.411,54.3,11.9,17.4,4.8,79.1,19.1,13.5,"21,464",23.9,12.9,20.4,13.9,22.4,0.6,18.1,24.7
"Blount County, Alabama",1009,25.3,74.7,12.5,4.2,72.1,"27,362",2.99,4.39,89.4,0.8,0.7,0.4,1.3,7.3,29,0.422,57.3,11,13.4,5.7,71,12.7,10.7,"56,804",24.5,14,23.5,16.3,24,1.1,17.2,17.9
"Bullock County, Alabama",1011,25.3,74.7,12,3.7,71.3,"20,036",2.87,2.23,22.2,74.9,0.1,0.3,0.1,2.3,51.6,0.533,55.7,32.3,52.9,10.7,48.4,57.2,31.5,"10,917",24.3,11.4,16.9,15.4,22.8,5.1,8.9,30.9
"Butler County, Alabama",1013,25.2,74.8,11,3.2,74.1,"22,571",3.08,3.06,56.7,41.3,0.2,0.6,0.9,0.4,34,0.463,54.1,22,28.8,9,66,35.4,19.8,"20,189",24.8,16.1,20.8,15.9,27,2.2,9.9,24.2
"Calhoun County, Alabama",1015,21.5,78.5,16.1,6.4,75,"25,123",3.7,3.8,75.7,19.4,0.5,0.8,1.2,2.4,37.7,0.453,56.8,17.5,24.8,9.6,62.3,30.2,11.3,"112,969",23.3,14.6,28.9,15.4,23.4,0.4,11.9,20
"Chambers County, Alabama",1017,28.2,71.8,10.8,3.7,72.2,"24,160",2.78,3.53,59.8,37.3,0.2,0.2,1.1,1.3,63.2,0.425,56.3,16,22,12.2,36.8,28.7,13.3,"34,704",23.4,16.2,21.3,14.7,26.6,0.3,11.8,25.3
"Cherokee County, Alabama",1019,26.6,73.4,10.5,4.2,69.9,"26,959",2.64,4.29,91.9,5.6,0.6,0.1,0.6,1.2,24.2,0.439,55.4,14.6,21.1,11.2,75.8,18.6,11.5,"24,427",20.8,17.5,24,15.9,20.3,1.9,13.4,24.5
"Chilton County, Alabama",1021,24.1,75.9,12.2,4.8,69.5,"26,737",2.81,4.23,83.2,10.4,0.3,0.1,1.3,4.7,42.1,0.451,59.9,17.2,23.5,7.6,57.9,25,12.7,"42,272",24.8,13,22.2,13.3,23.4,0.8,18.9,21.4
"Choctaw County, Alabama",1023,28.9,71.1,10.9,4.1,77.7,"22,177",3.29,2.94,54.9,43.5,0,0.1,0.8,0.6,56.9,0.457,42.8,22.8,31.6,10.5,43.1,24.2,21.9,"14,229",23.6,16.8,28.6,14.1,19.6,2.2,17.6,17.8
"Clarke County, Alabama",1025,23.9,76.1,13.5,4.9,74.9,"24,797",3.4,3.71,54.8,41.6,1.4,1,0.7,0.5,46.5,0.523,43.4,26.1,34.3,8.2,53.5,28,24.2,"26,438",26.3,15.1,24.7,11.3,24.3,2,11.3,26.4
"Clay County, Alabama",1027,28.6,71.4,9.5,3.1,73.5,"27,466",2.8,4.42,80.4,14.4,0.3,0,2.3,2.7,55.3,0.421,56,17.7,21.7,8.9,44.7,28.6,16.6,"13,769",22,20.1,22.4,12.2,16.7,3.3,17.6,27.7
